book_id,isbn,bookId,author_id,book_type,type_id,book_name,author_name,introduction,total_r,weekly_r,words_count,logo,score
16729,zh1335911,1335911,82178318,N次元,6,魔术师,灯照,据传，当某样事物承受了太多负面情绪，其本身便会成为一个“鬼魔”，鬼魔会给周遭的人类带来不幸，为了驱逐鬼魔，公安于1900年成立“公安特立对鬼魔驱逐工作办公室”，2020年代号“龙猫”的魔术师加入该团队，共1475隶属于该团队,0.0,0.0,1024,https://dss1.baidu.com/9vo3dSag_xI4khGko9WTAnF6hhy/boxapp_novel/wh%3D315%2C423/sign=dcf3fa2fc7177f3e1061f40e41fa17f3/4a36acaf2edda3cc71e2d0b90fe93901213f9220.jpg,4.9
18155,zh1321298,1321298,54532192,现实题材,5,山河无恙,山猫,京南省宁海市安溪县白池乡党政一把手，顶风作案，违反中央八项规定，被有关部门查处，但是，“老虎”虽亡，“苍蝇”仍在，为了让这些“苍蝇”也能被绳之以法，省委决定任命银安乡党委副书记刘明光赴白池乡任党委书记兼乡长。接下来就看刘书记如何智斗“苍蝇”和贯彻党中央关于三农工作的精神，带领老百姓大步迈进新时代了！,1.0,0.0,3701,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=57177125,1766544846&fm=179&app=35&f=JPEG?w=200&h=260&s=DAB021C40CD2A9F756445810030080C0",8.5
17140,zh1336463,1336463,82346327,现实题材,5,再看你一眼,木九,"情动落北晨&深情江路
他曾是人们中的天之骄子，在一次意外以后，天之骄子陨落。
也应一个人，他在奋发图强，最后取得了真爱。
江路曾经说出一句，收起你的懦弱，摆出你霸气的姿态。",0.0,0.0,5606,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=441977918,815679717&fm=179&app=35&f=JPEG?w=258&h=307&s=FD2E777E4B636F241E7D94EE0200E030",5.2
19471,zh1336956,1336956,82348665,玄幻,2,祖尊,暮知星尘,天地间，万祖林立，我李元灵，当为祖中之尊。,11.0,1.0,8877,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2375059663,235527334&fm=179&app=35&f=JPEG?w=267&h=356&s=C5BE35D7469547E9510A2FEF0300702B",6.2
17440,zh1336056,1336056,82323418,N次元,6,斗罗大陆之我能抽取无限武魂,上帝拯救萬物,王凯穿越斗罗大陆，抽取无限武魂,0.0,0.0,10000,"https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=151167772,491467490&fm=179&app=35&f=JPEG?w=267&h=356&s=FF8E6F878AD645EF5C4D88E10300A035",7.9
17955,zh1336566,1336566,82351716,现实题材,5,大法师,龚知仙,"
​话说龚知仙算命大师算命绝技是阴间的一位鬼大师所传授。这位鬼大师生前无传人，留下遗憾，一直不愿投胎。龚知仙早年来北京闯荡，租下一间不见阳光的阴宅，由于龚知仙算命大师白天采太阳之光，晚上采月亮之光，日精月华，在龚知仙体内结晶，身内阴阳合一，常常出体，灵魂出窍，穿门而出……
​机缘巧合，这位鬼算命大师生前算命绝技失传，看到凡间有此专注修炼之士也算有缘，于是乎，经常在龚知仙梦中传授算命绝技。龚知仙每每梦中醒来，赶快做笔记，名曰神算天机。
​技成之后，每天晚上都会有鬼排着队找龚知仙算命大师算命。龚知仙算命大师在阴间也算小有名气。
​毕竟人鬼殊途，夜间给鬼算命有损阳气，龚知仙算命大师就拒绝了夜间给鬼算命的事情。从此，鬼就很少找龚知仙算命了。
龚知仙精通奇门遁甲，八字命理，手相面相，气功修炼，在算命上先说过去，后测未来，铁口直断，另人称奇。经常出去摆地摊算命，实践出真知，不断的总结提炼算命技术，虽然被城管罚款多次，仍然痴心不改，一心研究算命事业。如痴如醉如梦，数十年如一日，孜孜不倦的研究玄学，达到了来人不用问的境界。上测天，下测地，中测人，上知五百年，下知五百载，吾不知其所名，强名曰神算天机。
",0.0,0.0,10000,https://dss3.baidu.com/9fo3dSag_xI4khGko9WTAnF6hhy/boxapp_novel/wh%3D267%2C357/sign=7e5558642a7f9e2f7060150a2907c517/b812c8fcc3cec3fd23dd4df7db88d43f86942755.jpg,6.1
18181,zh1335537,1335537,42773024,仙侠,4,铸天庭,残风柔絮,洪荒时期，巫妖争霸之后，两族衰落。同时因为巫妖争霸，导致天倾地覆，亿万生灵灰飞烟灭。大道变得残缺不全，三千神魔对现世虎视眈眈，预要重现蛮荒混沌。道祖念苍生之不幸，打算重建天庭，维护苍生。,2.0,0.0,12000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=981051114,3627578815&fm=179&app=35&f=JPEG?w=267&h=356&s=C513C738558167E106A43D460300A0E2",6.5
15917,zh1333725,1333725,55428192,玄幻,2,让你当教廷质子，你成红衣主教？,大日鹏启,（又名：浮屠浊世，铁甲依然）（架空+歪科技树+机体+剧情+热血+少年+半群像+争霸+慢热+非爽文）姬韶华静静注视着大败而归的背嵬军。喧嚣的街道沉寂下来。黑色铁甲上喷射蒸汽的管道依然灼热，然铁甲之下却是宛若被抽离灵魂的行尸走肉。昔日铁骑如潮，今夕归者寥寥。皇宫内，高坐于龙椅上的枯槁帝皇咳嗽不断，一名断臂紫衣大臣跪地伏首。红衣的内侍慢读着随背嵬军一同回来的信件，他的声音在富丽堂皇的宫殿内幽幽回荡。许久后，一道旨意从皇宫传出。“命皇子姬韶华，去往北陆教廷交流学习。”所有人这才知道，原来中山国除了长公主外，还有一名皇子存在。,2.0,0.0,20000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2952241806,746687566&fm=179&app=35&f=JPEG?w=267&h=356&s=ADF044860A6292DC41691DB40300D002",5.4
16016,zh1334712,1334712,20030642,玄幻,2,妖行记,黄金榜,随便写写,0.0,0.0,21000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2436102091,3455783288&fm=179&app=35&f=JPEG?w=267&h=356&s=2EAC7A225AD167E79DBD34CE0100A0A1",5.3
17753,zh1326694,1326694,82025730,玄幻,2,太荒剑神,暮宸,我要这天，遮不住我的眼我要这地，葬不了我的心我要这剑，斩断万古，刺穿云霄！,0.0,0.0,24000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3456314032,960014088&fm=179&app=35&f=JPEG?w=267&h=356&s=32C5F9044141AEFC40301C920300A09A",7.6
19462,zh1337181,1337181,82369740,都市,11,重生之逆天改命,爱吃冰淇淋的,李云飞，曾是修仙界的绝顶强者，却在一场恶战中惨遭败落，灵魂重生至一个修为尽失的陌生身躯。在这个全新的世界，他虽举步维艰，却心怀不屈之志。从被地痞流氓欺凌的屈辱，到坚定踏上重铸修为之路，李云飞誓要逆天改命，凭借顽强的意志和不懈的努力，再度崛起，重回巅峰，书写属于他的辉煌传奇。,0.0,0.0,24000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=4079991911,2690264503&fm=179&app=35&f=JPEG?w=267&h=356&s=D5D65D9A48D075FB9E60DEFF03007035",6.5
17483,zh1332555,1332555,55628057,奇闻轶事,9,读书破万卷，出山镇鬼神,醋泡小米辣,张辰生下来就死了。他走了十六年黄泉路，吃了十六年彼岸花，终于来到人间。人间处处是春风，才子佳人相映红。​只有，他从地狱来。,4.0,0.0,25000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3972617042,2070682389&fm=179&app=35&f=JPEG?w=267&h=356&s=32A29A09585176D4B60D409C03005022",5.4
17483,zh1332555,1332555,55628057,奇闻轶事,9,读书破万卷，出山镇鬼神,醋泡小米辣,"张辰生下来就死了。
他走了十六年黄泉路，吃了十六年彼岸花，终于来到人间。
人间处处是春风，才子佳人相映红。​
只有，他从地狱来。",4.0,0.0,25000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3972617042,2070682389&fm=179&app=35&f=JPEG?w=267&h=356&s=32A29A09585176D4B60D409C03005022",5.4
16759,zh1287904,1287904,52444177,玄幻,2,永恒真界,一瞬光影,苏辰推开一层迷雾，看到了更广阔的天地……亘古不灭的尸骸，万族魂祭的悲壮，走不到尽头的长生路……这未知而神秘的地带，他将何去何从？,22.0,0.0,26000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=1957751629,2666121355&fm=179&app=35&f=JPEG?w=267&h=356&s=1AB541844623A6E50EB3C5940300309B",8.1
15788,zh1328839,1328839,52169183,都市,11,丈母娘别这样，我不退婚了,一生不羁,掌控世界亿万财富的秦风为调查身世，携一纸婚书隐于市井，然而令他所料未及的是——婚书刚退，未来丈母娘就带着千万嫁妆围堵自己。丈母娘：“秦风，只要你娶我女儿，你要什么，妈都可以给你。”,0.0,0.0,26000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2675205099,1676422685&fm=179&app=35&f=JPEG?w=267&h=356&s=09F82F8EDC52C7FD80816D9203005096",5.3
18882,zh1337114,1337114,56304621,现实题材,5,连环凶杀案,墨雪狼痕,大雪过后，环卫工人发现了一具赤裸女尸，紧接着跟死者偷情的老板也被发现死在了自己的车里，女法医侯悦和刑侦大队队长周强本以为这是一起简单的情杀案，可是随着案情的发展，两人发现这不是一件简单的情杀案，而是连环凶杀案的开始，因为凶手以赤裸女尸开始，展开了一系列的杀人案，并在现场留下了前一个死者的手机作为挑战书，向警方发起了挑战。,0.0,0.0,26000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=344068490,3877996618&fm=179&app=35&f=JPEG?w=267&h=357&s=54D07984489375F7022D0BD003001096",5.2
16792,zh1335891,1335891,82309712,玄幻,2,不朽武神,泡泡茶壶,少年林凡，一夜之间全家灭门，从此走在不断变强的路上，以杀证道，吞天噬地，一切的敌人都是自己的养料，一步一步踩着敌人的尸体，走向最强。,0.0,0.0,30000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=384084208,1744727284&fm=179&app=35&f=JPEG?w=267&h=356&s=DDDDD6AE4C138FF5026FD8A70300C048",6.2
17435,zh1336387,1336387,55560154,玄幻,2,天道纵横,北坡一株草,生死时空，乃世界基础法则，生死循环，时空变幻。古有异兽夺其一，四者缺一，天地动乱。今有少年凌霄，本欲求田问舍，安乐一世。然天道有序，世事无常，只得踏上登天路，追寻世界的真相。,0.0,0.0,31000,https://dss2.baidu.com/-vo3dSag_xI4khGko9WTAnF6hhy/boxapp_novel/wh%3D267%2C357/sign=43d483c06663f6241c083101b173c7cb/aec379310a55b3195a0f8a8c4ea98226cefc1750.jpg,5.9
18782,zh1337057,1337057,82366796,都市,11,末世征程,星辰墨影,上一世病毒肆虐、丧尸横行，人类陷入绝境，叶澜意外重生，有了改变命运的机会。,0.0,0.0,31000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3162756382,3353815906&fm=179&app=35&f=JPEG?w=267&h=356&s=170C47A64E1025FDC301BDA403003008",5.0
17647,zh1334510,1334510,82239103,玄幻,2,柯学里的传奇,小遊同学,睿渊机缘巧合之下来到，柯学世界一代传奇就此诞生他到底是黑暗中的君主？还是光明里的使者？亦或者是….,0.0,0.0,39000,"https://dss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=2128571838,623287119&fm=179&app=35&f=JPEG?w=267&h=356&s=7A3530C40522AEEB0E03B4840300C098",6.5
16023,zh1324528,1324528,56299814,都市,11,国运：开局秒选金光咒,陆红尘,​天外陨石，灵气复苏。一场由未知存在开启的养蛊游戏由此开始，当然你们也可以将它称之为……国运战场。米国有黑暗与光明两大教廷，熊国有蛮神血脉与神庙传承，即便是樱花也有万兽契约，可这里的夏国历史缺失两千年，没有丝毫传承。他们只能够依靠运气去觉醒出那些已有的科技，去与之对抗。在这样恶劣的竞争下，夏国在国运战场上不断失败，资源在不断减少，国运更是一年不如一年。可他们仍然用鲜血与生命在守卫着国家期待将来能有翻身之日。也正是这时，一批新人的觉醒，一本‘金光咒’就此现世……,0.0,0.0,40000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1413898166,204256910&fm=179&app=35&f=JPEG?w=267&h=356&s=43BB3BC7C80360CE360CE1260300F048",5.6
20389,zh1304703,1304703,56264591,N次元,6,海贼：我的霸气有亿点点强,剧盒子@qimiaoEYTxy1,"罗恩意外穿越海贼世界，
获得霸气躺平系统，
从此在躺平的路上，越走越远。
【叮，恭喜宿主又成功躺平一天，获得极致武装色。】
【成熟的强者何需努力修炼，由于宿主躺平达到极致，获得满级霸王色。】
至此，罗恩在躺平变强的路上，一去不复返，成为草帽团最强副船长。
白胡子：罗恩这个家伙，真是恐怖如斯，尤其是霸气。
红发：什么最强霸王色，罗恩这个家伙才是。
凯多：虽然我一心求死，但千万不要让我遇见罗恩。
战国：罗恩这个家伙，必须不惜一切代价抹除。
五老星：罗恩甚至超越了那个传说，必须解决他。
这时，罗恩缓缓走出来，淡淡道：各位，在下哪有那么强，无非是霸气有亿点点强罢了。
众大佬：霸气有亿点点强，礼貌吗？
突然未来的某一天，罗恩带着草帽海贼团，集体出动，世界格局大变。",0.0,0.0,40000,"https://dss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=173761820,1948864448&fm=179&app=35&f=JPEG?w=267&h=356&s=ECC7FD085A5735FF0D0DC8970100C082",5.0
15863,zh1327457,1327457,56227992,仙侠,4,我开局就长生了,卓招卧,【不无脑+猥琐发育+不圣母+长生流+杀伐果断】莫宏意外穿越，并获得一本可以在体内自行运转的长生诀，生生不息，寿命不断。为了能更快的变强，莫宏走上了一条不断削减寿命来变强的疯狂道路。“消耗精血的秘法是吧，我随便使用！”“打不死我的东西只能让我变得更强，还有什么能削短寿命来变强的功法，全部拿来吧！”,0.0,0.0,41000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=652181871,71352865&fm=179&app=35&f=JPEG?w=267&h=356&s=0B15CD004EF54DAD9D54C5CB030070B1",5.3
15637,zh1333591,1333591,56309914,现实题材,5,爱的分贝,此良人,张胜宇一名听障人的生活百态，他经历过质疑，也曾有过迷茫，但他从未放弃，寻找着属于自己的光芒……,0.0,0.0,45000,"https://dss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=2869344841,2127211597&fm=179&app=35&f=JPEG?w=267&h=356&s=FF486084084788DC40986EAD03003086",6.3
